9904  access("/etc/ld.so.preload", R_OK) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_dtype_like.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_nbit.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_scalars.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/_typing/__pycache__/_ufunc.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_twodim_base_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_stride_tricks_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/array_utils.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_array_utils_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/linalg/_umath_linalg.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_function_base_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_histograms_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_arraysetops_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_arrayterator_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_nanfunctions_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_npyio_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/weakref.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/_weakrefset.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/format.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_format_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_utils_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/platform.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_datasource.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_iotools.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_polynomial_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_type_check_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_ufunclike_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_shape_base_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_version.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/introspect.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/mixins.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/npyio.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/scimath.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/_scimath_impl.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/lib/__pycache__/stride_tricks.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/__pycache__/_array_api_info.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/_core.abi3.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/__pycache__/_coerce.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/__future__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_base.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_arima.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/statistics.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/random.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/bisect.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/fractions.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/decimal.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload/_decimal.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_plotting.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_check.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_dsge.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_garch.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_generic.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_lp.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_predreg.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/results/__pycache__/_var.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/bindings/python/python/tsecon/__pycache__/_inspect.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_bounded_integers.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/bit_generator.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_common.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/secrets.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/base64.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/hmac.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload/_hashlib.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/etc/ld.so.cache", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libcrypto.so.3", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/proc/sys/crypto/fips_enabled", O_RDONLY) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/lib/ssl/openssl.cnf", O_RDONLY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/hashlib.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/__pycache__/threading.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/__pycache__/_pickle.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_generator.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_pcg64.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_mt19937.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_philox.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/_sfc64.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/numpy/random/mtrand.cpython-311-x86_64-linux-gnu.so", O_RDONLY|O_CLOEXEC) = 3
9907  +++ exited with 0 +++
9908  +++ exited with 0 +++
9909  +++ exited with 0 +++
9904  +++ exited with 0 +++
